1703	1704	143	286
1703	2087	110	440
1703	10748	105	420
1704	1703	143	286
1704	2702	147	588
1704	10747	102	408
1704	14814	5	10
1817	6208	126	252
1817	6241	106	212
1817	28462	61	244
1817	28459	200	800
1804	10906	42	168
1812	1804	66	264
28432	1812	34	136
1813	6355	46	184
1839	2503	59	236
1839	16902	29	116
1839	18631	26	104
28140	28184	115	115
28140	2482	86	86
28140	27587	154	616
28179	1796	151	604
28179	26046	63	63
28179	28145	45	45
28179	12965	117	468
1796	28179	151	151
1796	26978	138	276
1796	12859	57	228
1797	11129	112	448
1797	11099	160	640
1797	11404	165	660
1797	11269	98	392
1797	12516	71	142
1780	384	64	256
1780	11079	57	114
1780	11099	17	68
1786	1835	103	412
1786	384	42	168
1786	6118	94	188
1835	1786	103	412
1835	25760	218	436
1835	7171	86	344
1835	11439	36	72
25989	27715	114	456
25989	6016	92	184
25989	27732	143	143
1833	6006	31	62
1833	6054	30	30
1833	25900	26	104
1833	7764	98	196
1790	6051	55	220
1790	6030	81	324
1790	5973	90	360
26220	507	48	48
26220	26228	19	76
26220	17024	16	32
26249	26279	163	652
26249	7360	30	30
26249	7332	82	82
26274	7576	144	576
26274	26219	16	64
26274	26035	40	160
1792	7668	64	64
1792	27416	142	284
1792	8269	184	736
1803	8393	31	124
1803	8380	28	112
1803	22541	29	116
1776	26009	63	252
1776	8851	132	264
1776	27551	168	672
1776	16569	25	100
1810	5716	35	70
1810	8799	55	55
1810	16535	73	292
1816	283	89	356
1816	984	46	92
1791	5731	29	116
1791	13763	29	116
1791	13749	21	84
1831	915	49	196
1831	19135	9	36
1778	5728	55	110
1778	15918	198	792
1778	15916	43	172
1778	15906	92	184
1719	7918	146	584
1719	9185	90	360
1719	14817	7	28
1719	15395	10	40
1818	26503	1105	2210
1818	26240	10	40
1818	26237	4	16
1818	21239	335	1340
26960	26593	248	248
26960	26683	37	148
26960	18239	20	80
26960	26991	152	608
1801	26622	91	364
1801	19453	78	312
1724	15037	155	620
1724	15042	369	1476
1724	20134	8	32
1724	26672	11	44
1751	13232	17	68
1705	1706	637	2548
1705	20443	16	16
1705	24450	267	1068
1706	1705	637	2548
1706	4645	440	1760
1782	18416	244	976
1782	18493	53	212
26301	28561	19	76
26301	20091	12	48
1777	11840	29	116
1777	19206	7	7
1728	140	43	172
1728	11740	20	80
1707	4281	63	126
1707	4252	181	724
25577	1912	76	76
1731	11750	25	100
1829	2598	57	228
1829	2746	40	160
1829	19320	10	40
25746	27821	17	68
25746	2598	68	272
25746	10241	47	188
1807	2606	28	112
1807	2599	91	364
1807	25193	181	181
1794	2714	23	92
1794	3423	72	144
1794	3405	73	146
1794	27327	23	92
1794	3414	23	92
27508	2714	52	208
27508	2749	150	150
27508	2818	67	134
27512	1909	44	44
27512	1764	85	170
27512	2804	27	27
25869	27540	43	43
25869	1761	168	672
25869	1764	89	178
25869	2783	9	36
1832	2578	88	176
1832	25789	91	91
1832	2829	135	270
1832	27781	118	472
1805	2606	15	60
1805	2770	264	1056
1805	27927	17	17
1837	2692	93	93
1837	3363	29	58
1837	21801	56	224
27528	2946	28	112
27528	172	66	66
1811	1825	65	260
1811	3409	41	164
1811	3430	21	84
1811	3531	128	512
1713	28063	164	328
1713	15855	4	4
1713	24682	30	60
1708	1752	185	370
1708	2150	50	100
1708	2454	8	16
28385	27587	14	14
28385	28300	66	264
28385	27586	40	80
1825	1811	65	260
1825	1828	124	496
1825	3409	128	256
1825	3441	84	168
1828	1825	124	496
1828	300	82	82
1828	3441	123	492
1828	3524	56	224
1808	19647	24	24
1771	3511	56	56
1771	9866	8	8
1823	3119	16	16
1823	16826	133	133
1823	16882	34	34
1823	16882	34	34
1789	1744	86	344
1789	26700	35	140
1744	3783	103	103
1745	23982	6	24
1826	3782	83	332
1826	1721	6	24
1826	24043	21	84
1840	4158	41	164
1840	17796	78	156
1840	24158	8	8
1799	26172	10	40
1799	20271	142	568
1819	27363	14	56
1819	24325	30	60
1795	13243	86	344
1795	13250	25	100
1784	13359	102	408
1784	13252	105	420
1820	94	46	46
1820	27579	132	132
1781	6683	86	344
1781	28139	8	16
1781	23014	11	44
1781	23444	14	56
1746	8839	73	292
1746	24284	54	216
1843	12542	52	208
1844	19935	12	48
1788	26621	17	68
1787	4129	90	90
1787	9619	66	264
1772	1842	118	118
1830	6530	73	292
1830	22223	19	76
1830	28353	13	52
26307	6589	86	344
26307	6602	30	120
26307	25959	19	76
26307	26387	23	23
26307	26519	11	44
1806	22291	22	44
1806	26354	19	38
1806	28992	26	52
1806	23049	16	64
1806	26504	11	11
1806	23061	123	492
1842	6629	63	252
1842	12961	64	64
1842	12885	90	360
1824	3627	66	264
1824	28852	66	264
1836	1773	156	312
1836	6872	169	676
1836	8886	150	300
1836	8976	138	552
1822	9382	104	416
1822	15643	42	168
1793	1822	115	230
1793	1773	103	206
1793	8987	112	112
1773	8974	38	76
1773	15549	113	226
1838	6664	48	192
1838	8972	125	250
1838	18918	58	232
28939	26559	27	27
28939	25931	92	368
28939	28815	29	29
1785	9333	73	146
1785	28602	107	428
1785	23126	151	604
26518	27043	16	64
27530	15239	76	152
27530	27488	104	416
27530	15235	115	460
1783	25882	113	452
1783	12903	215	860
97	7064	70	140
97	15227	110	110
27913	27916	65	130
27913	13773	237	474
1774	6861	107	214
1774	6862	51	51
1774	1139	63	63
1747	12797	56	112
1747	12799	22	88
1754	22151	11	44
1748	2980	55	110
1748	3936	60	240
1748	6927	52	208
1802	2833	60	60
1802	1416	265	265
1775	1757	34	136
1775	1756	22	88
1775	1416	33	132
1821	1775	47	188
28184	28140	115	460
28184	2222	22	88
28184	12965	77	77
28184	12833	34	136
1752	2479	69	276
1752	2772	44	176
1757	1756	25	100
1757	18404	17	68
1757	28002	16	64
1757	27747	21	84
1750	1749	68	272
1750	1880	45	180
1749	27813	43	172
1749	10854	19	76
1753	1821	11	44
1755	1750	39	156
1755	1881	43	172
1756	10889	43	172
25681	1827	30	120
25681	2899	52	104
25681	23113	143	143
1827	25681	30	120
1827	2753	115	230
1827	2919	244	244
27813	1827	138	138
27813	1635	10	20
27813	28470	6	6
1911	1758	68	136
1911	1635	50	50
1911	27550	59	118
1758	1911	68	136
1758	2755	55	110
1880	1750	45	180
1880	1909	72	72
1880	1881	74	296
1880	27550	14	14
1909	27512	44	44
1909	1880	72	72
28063	1713	164	328
28063	15839	9	36
28063	18417	10	40
1893	27690	6	24
1893	22861	102	204
1873	1927	88	352
1873	18417	26	104
1927	18362	35	140
1927	28872	26	26
1927	23109	7	7
1931	2489	121	484
1931	12966	56	56
1931	23109	43	172
1881	1755	43	172
1881	1880	74	296
1881	27540	73	292
1881	12966	10	40
1908	1873	30	120
1910	1908	53	212
1910	1760	25	100
1868	1910	231	924
1868	18421	25	50
1759	27540	156	624
1759	2489	11	44
0	1908	20	80
0	1760	25	100
1760	1765	7	28
27540	25869	43	172
27540	1881	73	73
27540	1759	156	624
1761	1762	82	164
1761	1765	42	84
1762	1761	82	164
1762	2192	91	182
1762	2649	133	266
1763	1909	67	134
1763	27540	70	140
1764	1763	38	76
1764	11689	92	184
1888	28164	143	572
1888	2205	27	108
1888	28166	5	5
1765	1759	13	52
1765	1761	42	84
28299	28298	47	188
28299	2516	107	107
28299	20875	64	256
1903	1981	145	580
1903	2163	68	272
1903	85	34	136
1903	1313	22	88
28277	2333	69	69
28277	28269	42	168
28277	28290	95	380
28277	2506	45	180
1870	1845	204	816
1870	2445	12	48
1870	2369	50	200
1870	2446	312	1248
1845	1870	204	816
1845	2432	63	126
1845	17759	31	124
1936	2398	26	52
1936	2446	130	520
1936	28075	3	12
1814	3150	65	260
1814	26359	80	320
1928	3240	91	364
1928	3533	18	72
1928	28416	9	36
50	3506	53	212
50	24273	4	16
1919	3535	67	268
1919	3468	156	312
28728	3494	47	47
28728	25767	31	31
27085	27168	25	100
27085	17103	36	144
27085	25017	171	684
1904	27141	113	113
1904	27159	56	224
1904	12564	60	240
1904	25105	110	440
1941	10493	70	280
1941	28651	11	44
1941	22859	32	128
1941	23095	32	128
27177	28618	121	121
27138	27153	168	168
27138	28772	13	52
1905	28769	20	80
1905	27153	220	880
1905	6103	222	444
1905	17164	163	652
1932	2597	29	29
1932	6150	132	132
1932	6101	19	76
25913	3402	108	432
25913	3404	182	728
25913	25849	7	7
1869	2866	64	256
1869	3429	69	276
1869	10934	8	32
1869	10907	128	512
1940	5891	36	144
1940	28515	44	176
1886	3072	300	1200
1886	18581	11	44
1933	1886	61	61
1933	8700	72	288
28918	12568	6	24
28918	28246	119	476
28918	28935	133	133
1883	12568	46	184
1883	18629	47	188
26	6145	93	372
26	6096	53	212
26	6096	53	212
26	872	49	196
26	21039	25	100
28894	28943	80	320
28894	21806	10	40
1924	16155	102	102
1924	28073	88	88
1924	28073	93	372
1841	1834	170	680
1841	15040	295	295
1841	27471	504	2016
1841	16506	151	151
1841	21389	238	238
1834	1841	170	680
1834	15028	220	880
26728	26408	125	500
26728	9143	173	346
26728	28056	75	75
26728	16032	79	316
26450	16037	26	104
26450	25912	16	64
1871	28010	12	12
1871	5567	42	168
1934	5511	303	606
1934	5554	212	424
1934	5661	54	216
1934	21181	8	32
1934	21146	126	504
26366	15910	32	64
26366	26362	59	59
26366	26360	152	152
26366	28001	32	64
1938	15399	33	132
1938	15397	21	42
1938	25604	50	200
1938	26888	19	76
1887	4911	51	204
1887	26208	25	100
1915	4840	34	136
1915	4858	83	332
1915	4786	136	544
1937	4756	24	96
1937	4777	156	624
1907	1937	26	104
1907	26887	74	74
1889	4727	24	96
1889	27857	177	354
1942	1889	16	64
68	4745	35	140
68	23123	15	60
1890	4859	38	152
1890	4747	140	560
1918	4666	56	224
1918	28378	45	90
1918	4698	35	70
1779	2720	30	120
1779	4932	30	120
1849	4896	145	290
1849	16417	78	312
1798	26946	276	1104
1798	1098	24	48
1798	16462	23	92
1798	19144	10	20
1943	234	54	216
1943	5060	144	576
1943	29065	13	52
1935	4796	58	232
1935	4762	92	368
1935	4916	88	352
1815	1935	106	424
1815	4767	16	64
1815	266	28	112
1906	6940	236	944
1906	20150	77	308
1906	25520	72	288
1809	6082	110	440
1809	6879	90	180
1809	1299	33	132
27045	27115	22	88
27045	6854	28	56
27045	25931	92	92
1913	25999	37	148
1913	28821	91	364
1913	6714	60	240
1923	6659	54	216
1923	6841	77	308
1929	6618	102	408
1929	14291	49	196
1929	22333	24	96
29047	26567	23	92
29047	25846	27	108
29047	27532	62	62
1867	27730	68	68
42	27637	35	35
42	26637	30	60
42	27643	61	244
1847	28794	5	20
1766	8818	177	708
1766	22748	6	24
1767	6677	13	52
1767	9437	70	280
1767	22902	12	24
1884	28563	22	22
1884	19924	165	165
1884	27593	31	31
1894	8461	40	160
1894	13198	66	264
1894	27634	7	28
1921	2602	238	238
1921	13257	34	136
1921	19922	239	956
1921	19942	89	356
1872	1784	38	152
1872	6558	112	448
1912	27591	42	168
1917	1850	50	200
1917	25743	99	99
1917	11844	53	212
1917	820	137	548
1885	25965	165	660
1885	22609	75	75
1768	1769	197	788
1768	7505	44	176
1930	18316	51	204
1930	18398	4	16
1930	1626	5	20
1925	2281	11	22
1925	6233	69	69
1925	6255	70	140
1850	1917	50	200
1850	2315	177	708
1850	6207	43	86
61	7964	288	288
61	25743	81	324
61	17608	144	144
1769	11668	119	476
1769	23239	7	28
28901	7753	141	141
28901	28902	24	24
76	27831	263	263
76	7630	26	52
76	1616	250	250
76	24479	243	972
1878	5156	42	42
1878	11853	98	98
1878	27565	30	120
1896	3296	62	62
1896	6256	52	104
1896	25685	19	76
1900	159	43	86
1900	3331	199	796
1900	3295	16	64
25659	27975	13	13
25659	25598	186	186
25659	17055	190	190
25659	25584	12	12
1914	2113	56	224
1914	3004	74	148
1914	22912	24	96
1899	1897	76	152
1899	2054	56	224
1899	15887	125	500
1897	1960	55	110
1897	3305	35	70
1897	3277	38	76
1898	1939	53	106
1898	1922	158	632
1898	1959	54	216
1939	1875	59	118
1939	1975	216	864
1939	1957	54	216
1875	2025	54	216
1875	2089	44	88
1875	3304	103	412
1874	2014	55	110
1874	3024	35	70
1874	22999	24	48
1920	1914	75	150
1920	2114	56	224
1920	13261	200	800
1916	27647	126	504
1916	27633	22	88
1916	18814	319	1276
1916	19246	57	228
1922	1898	158	632
1922	9791	115	460
1922	535	150	600
1851	162	264	1056
1851	8607	91	364
1851	9429	72	288
1851	1460	274	1096
1926	25697	48	192
1926	8575	83	332
1926	8573	70	140
1926	17586	90	180
1926	23102	21	42
40	8353	151	302
1846	8311	202	404
1846	8351	43	172
1846	13450	66	264
1895	2087	18	72
1877	570	49	196
1891	9120	119	476
1891	11003	36	144
1891	11139	132	264
1892	9209	99	99
1892	629	10	40
1892	10660	309	1236
1892	1571	8	32
1892	24269	310	310
1944	10660	26	104
1944	24475	5	20
1944	24288	28	112
1944	24465	6	6
1770	22898	11	44
1770	22931	35	140
1770	1480	28	112
1800	3774	58	116
1800	11424	161	322
1848	1949	45	180
1848	1412	18	36
1949	2493	16	64
1949	28201	38	152
2019	1976	124	496
2019	10800	14	56
1976	15434	19	38
1976	15435	18	72
1976	28209	23	92
2024	14408	110	220
2024	14490	62	124
2024	28502	11	11
1852	28218	17	68
1852	21797	19	76
2021	11334	381	762
2021	17411	219	876
2021	25769	35	140
1999	29009	109	109
1999	2313	43	86
1999	26147	19	19
52	2502	139	139
52	28544	332	1328
52	19658	27	108
1986	2042	88	352
1986	2520	32	64
1986	28091	57	114
1986	13343	38	152
1986	26441	193	772
2042	1986	88	352
2042	2451	289	1156
2042	10909	152	608
2042	13343	102	102
1980	2274	105	210
1980	2403	34	34
1980	20676	12	12
2018	17587	105	210
